      1 60
      3 62
      4 66
      2 68
     12 70
      1 73
      1 75
      5 76
      5 77
      1 78
      1 81
      5 82
      1 83
      1 84
      4 86
     40 87
     71 92
      1 93
      1 100
      2 108
      1 113
      1 115
     40 119
      4 124
      4 134
      3 142
      4 144
      5 145
      2 147
      6 148
     10 150
      4 154
      4 158
      2 159
      1 161
      3 165
      9 168
      8 171
      2 173
      4 175
     10 178
      6 181
      2 182
      1 198
      1 201
      1 208
     10 216
      1 220
      1 226
      2 231
      1 233
      4 237
      4 239
      5 243
      3 244
      1 246
      2 249
      1 250
      1 253
      1 255
      1 257
      9 266
      1 271
      1 327
      1 353
      1 361
      3 455
     18 590
      2 738
